Sentence #,Word,Tag
Sentence: 0,Je,O
,voudrais,O
,aller,O
,a,O
,Strasbourg,B-geoE
Sentence: 1,Je,O
,voudrais,O
,aller,O
,a,O
,Istanbul,B-geoE
Sentence: 2,Je,O
,voudrais,O
,aller,O
,a,O
,Abbeville,B-geoE
Sentence: 3,Je,O
,voudrais,O
,aller,O
,a,O
,Besançon,B-geoE
Sentence: 4,Je,O
,voudrais,O
,aller,O
,a,O
,Strasbourg,B-geoE
Sentence: 5,Je,O
,voudrais,O
,aller,O
,a,O
,Caen,B-geoE
Sentence: 6,Je,O
,voudrais,O
,aller,O
,a,O
,Colmar,B-geoE
Sentence: 7,Je,O
,voudrais,O
,aller,O
,a,O
,Istanbul,B-geoE
Sentence: 8,Je,O
,voudrais,O
,aller,O
,a,O
,Avignon,B-geoE
Sentence: 9,Je,O
,voudrais,O
,aller,O
,a,O
,Dublin,B-geoE
Sentence: 10,Je,O
,voudrais,O
,aller,O
,a,O
,Albertville,B-geoE
Sentence: 11,Je,O
,voudrais,O
,aller,O
,a,O
,Lyon,B-geoE
Sentence: 12,Je,O
,voudrais,O
,aller,O
,a,O
,Champigny-sur-Marne,B-geoE
Sentence: 13,Je,O
,voudrais,O
,aller,O
,a,O
,Puteaux,B-geoE
Sentence: 14,Je,O
,voudrais,O
,aller,O
,a,O
,Dunkerque,B-geoE
Sentence: 15,Je,O
,voudrais,O
,aller,O
,a,O
,Asnières-sur-Seine,B-geoE
Sentence: 16,Je,O
,voudrais,O
,aller,O
,a,O
,Amiens,B-geoE
Sentence: 17,Je,O
,voudrais,O
,aller,O
,a,O
,Stockholm,B-geoE
Sentence: 18,Je,O
,voudrais,O
,aller,O
,a,O
,Rome,B-geoE
Sentence: 19,Je,O
,voudrais,O
,aller,O
,a,O
,Quimper,B-geoE
Sentence: 20,Je,O
,voudrais,O
,aller,O
,a,O
,Rouen,B-geoE
Sentence: 21,Je,O
,voudrais,O
,aller,O
,a,O
,Clermont-Ferrand,B-geoE
Sentence: 22,Je,O
,voudrais,O
,aller,O
,a,O
,Pau,B-geoE
Sentence: 23,Je,O
,voudrais,O
,aller,O
,a,O
,Reims,B-geoE
Sentence: 24,Je,O
,voudrais,O
,aller,O
,a,O
,Vannes,B-geoE
Sentence: 25,Je,O
,voudrais,O
,aller,O
,a,O
,Béthune,B-geoE
Sentence: 26,Je,O
,voudrais,O
,aller,O
,a,O
,Montreuil,B-geoE
Sentence: 27,Je,O
,voudrais,O
,aller,O
,a,O
,Valence,B-geoE
Sentence: 28,Je,O
,voudrais,O
,aller,O
,a,O
,Sète,B-geoE
Sentence: 29,Je,O
,voudrais,O
,aller,O
,a,O
,Ales,B-geoE
Sentence: 30,Je,O
,voudrais,O
,aller,O
,a,O
,Dunkerque,B-geoE
Sentence: 31,Je,O
,voudrais,O
,aller,O
,a,O
,La Rochelle,B-geoE
Sentence: 32,Je,O
,voudrais,O
,aller,O
,a,O
,Créteil,B-geoE
Sentence: 33,Je,O
,voudrais,O
,aller,O
,a,O
,Londres,B-geoE
Sentence: 34,Je,O
,voudrais,O
,aller,O
,a,O
,Pau,B-geoE
Sentence: 35,Je,O
,voudrais,O
,aller,O
,a,O
,Troyes,B-geoE
Sentence: 36,Je,O
,voudrais,O
,aller,O
,a,O
,Saint-Maur-des-Fossés,B-geoE
Sentence: 37,Je,O
,voudrais,O
,aller,O
,a,O
,Dreux,B-geoE
Sentence: 38,Je,O
,voudrais,O
,aller,O
,a,O
,Bangalore,B-geoE
Sentence: 39,Je,O
,voudrais,O
,aller,O
,a,O
,Maisons-Alfort,B-geoE
Sentence: 40,Je,O
,voudrais,O
,aller,O
,a,O
,Mérignac,B-geoE
Sentence: 41,Je,O
,voudrais,O
,aller,O
,a,O
,Jakarta,B-geoE
Sentence: 42,Je,O
,voudrais,O
,aller,O
,a,O
,Vannes,B-geoE
Sentence: 43,Je,O
,voudrais,O
,aller,O
,a,O
,Créteil,B-geoE
Sentence: 44,Je,O
,voudrais,O
,aller,O
,a,O
,Bastia,B-geoE
Sentence: 45,Je,O
,voudrais,O
,aller,O
,a,O
,Perpignan,B-geoE
Sentence: 46,Je,O
,voudrais,O
,aller,O
,a,O
,Grenoble,B-geoE
Sentence: 47,Je,O
,voudrais,O
,aller,O
,a,O
,Créteil,B-geoE
Sentence: 48,Je,O
,voudrais,O
,aller,O
,a,O
,Shanghai,B-geoE
Sentence: 49,Je,O
,voudrais,O
,aller,O
,a,O
,Montpellier,B-geoE
Sentence: 50,Je,O
,voudrais,O
,aller,O
,a,O
,Besançon,B-geoE
Sentence: 51,Je,O
,voudrais,O
,aller,O
,a,O
,Albi,B-geoE
Sentence: 52,Je,O
,voudrais,O
,aller,O
,a,O
,Nancy,B-geoE
Sentence: 53,Je,O
,voudrais,O
,aller,O
,a,O
,Roubaix,B-geoE
Sentence: 54,Je,O
,voudrais,O
,aller,O
,a,O
,Brive-la-Gaillarde,B-geoE
Sentence: 55,Je,O
,voudrais,O
,aller,O
,a,O
,Bayonne,B-geoE
Sentence: 56,Je,O
,voudrais,O
,aller,O
,a,O
,Bondy,B-geoE
Sentence: 57,Je,O
,voudrais,O
,aller,O
,a,O
,Rouen,B-geoE
Sentence: 58,Je,O
,voudrais,O
,aller,O
,a,O
,Poitiers,B-geoE
Sentence: 59,Je,O
,voudrais,O
,aller,O
,a,O
,Ales,B-geoE
Sentence: 60,Je,O
,voudrais,O
,aller,O
,a,O
,Auckland,B-geoE
Sentence: 61,Je,O
,voudrais,O
,aller,O
,a,O
,Beauvais,B-geoE
Sentence: 62,Je,O
,voudrais,O
,aller,O
,a,O
,Dreux,B-geoE
Sentence: 63,Je,O
,voudrais,O
,aller,O
,a,O
,Issy-les-Moulineaux,B-geoE
Sentence: 64,Je,O
,voudrais,O
,aller,O
,a,O
,Nancy,B-geoE
Sentence: 65,Je,O
,voudrais,O
,aller,O
,a,O
,Annecy,B-geoE
Sentence: 66,Je,O
,voudrais,O
,aller,O
,a,O
,Metz,B-geoE
Sentence: 67,Je,O
,voudrais,O
,aller,O
,a,O
,Alfortville,B-geoE
Sentence: 68,Je,O
,voudrais,O
,aller,O
,a,O
,Thonon-les-Bains,B-geoE
Sentence: 69,Je,O
,voudrais,O
,aller,O
,a,O
,Lille,B-geoE
Sentence: 70,Je,O
,voudrais,O
,aller,O
,a,O
,Arles,B-geoE
Sentence: 71,Je,O
,voudrais,O
,aller,O
,a,O
,Nanterre,B-geoE
Sentence: 72,Je,O
,voudrais,O
,aller,O
,a,O
,Washington,B-geoE
Sentence: 73,Je,O
,voudrais,O
,aller,O
,a,O
,Londres,B-geoE
Sentence: 74,Je,O
,voudrais,O
,aller,O
,a,O
,Orléans,B-geoE
Sentence: 75,Je,O
,voudrais,O
,aller,O
,a,O
,Antibes,B-geoE
Sentence: 76,Je,O
,voudrais,O
,aller,O
,a,O
,Jakarta,B-geoE
Sentence: 77,Je,O
,voudrais,O
,aller,O
,a,O
,Neuilly-sur-Seine,B-geoE
Sentence: 78,Je,O
,voudrais,O
,aller,O
,a,O
,Nîmes,B-geoE
Sentence: 79,Je,O
,voudrais,O
,aller,O
,a,O
,Londres,B-geoE
Sentence: 80,Je,O
,voudrais,O
,aller,O
,a,O
,Cotonou,B-geoE
Sentence: 81,Je,O
,voudrais,O
,aller,O
,a,O
,Fréjus,B-geoE
Sentence: 82,Je,O
,voudrais,O
,aller,O
,a,O
,Abbeville,B-geoE
Sentence: 83,Je,O
,voudrais,O
,aller,O
,a,O
,Palaiseau,B-geoE
Sentence: 84,Je,O
,voudrais,O
,aller,O
,a,O
,Le Havre,B-geoE
Sentence: 85,Je,O
,voudrais,O
,aller,O
,a,O
,Aulnay-sous-Bois,B-geoE
Sentence: 86,Je,O
,voudrais,O
,aller,O
,a,O
,Béziers,B-geoE
Sentence: 87,Je,O
,voudrais,O
,aller,O
,a,O
,Colmar,B-geoE
Sentence: 88,Je,O
,voudrais,O
,aller,O
,a,O
,Singapour,B-geoE
Sentence: 89,Je,O
,voudrais,O
,aller,O
,a,O
,Sète,B-geoE
Sentence: 90,Je,O
,voudrais,O
,aller,O
,a,O
,Aubervilliers,B-geoE
Sentence: 91,Je,O
,voudrais,O
,aller,O
,a,O
,Jakarta,B-geoE
Sentence: 92,Je,O
,voudrais,O
,aller,O
,a,O
,Béthune,B-geoE
Sentence: 93,Je,O
,voudrais,O
,aller,O
,a,O
,Ajaccio,B-geoE
Sentence: 94,Je,O
,voudrais,O
,aller,O
,a,O
,Asnières-sur-Seine,B-geoE
Sentence: 95,Je,O
,voudrais,O
,aller,O
,a,O
,Chicago,B-geoE
Sentence: 96,Je,O
,voudrais,O
,aller,O
,a,O
,Athenes,B-geoE
Sentence: 97,Je,O
,voudrais,O
,aller,O
,a,O
,Moulins,B-geoE
Sentence: 98,Je,O
,voudrais,O
,aller,O
,a,O
,Yerres,B-geoE
Sentence: 99,Je,O
,voudrais,O
,aller,O
,a,O
,Saint-Denis,B-geoE
Sentence: 100,Ou,O
,se,O
,trouve,O
,Zurich,B-geoE
Sentence: 101,Ou,O
,se,O
,trouve,O
,Amiens,B-geoE
Sentence: 102,Ou,O
,se,O
,trouve,O
,Châteauroux,B-geoE
Sentence: 103,Ou,O
,se,O
,trouve,O
,Amiens,B-geoE
Sentence: 104,Ou,O
,se,O
,trouve,O
,Thonon-les-Bains,B-geoE
Sentence: 105,Ou,O
,se,O
,trouve,O
,Mulhouse,B-geoE
Sentence: 106,Ou,O
,se,O
,trouve,O
,Argenteuil,B-geoE
Sentence: 107,Ou,O
,se,O
,trouve,O
,Lyon,B-geoE
Sentence: 108,Ou,O
,se,O
,trouve,O
